Move,0,1,2,3,4,5,6,7,8
2,2,o,2,o,2,1,x,x,2
2,1,o,2,1,o,1,x,x,2
2,2,x,2,2,2,o,o,x,2
2,2,3,o,5,2,x,x,2,o
2,2,o,2,2,o,x,x,2,2
2,2,2,2,o,2,o,x,x,2
2,2,2,x,2,o,2,x,o,2
2,2,2,2,2,o,2,x,o,x
2,2,2,2,2,o,x,x,o,2
2,2,2,x,2,o,2,x,2,o
2,2,o,2,1,x,o,x,2,1
2,2,2,3,3,2,x,x,o,o
2,2,o,2,2,2,o,x,x,2
2,2,2,2,x,2,o,o,x,2
2,2,2,2,o,2,x,x,o,2
2,2,o,2,2,2,x,x,o,2
2,o,2,2,2,3,2,x,o,x
2,1,1,o,1,o,2,x,x,2
2,o,2,x,2,2,2,x,o,2
2,x,1,o,3,2,2,x,o,1
2,2,2,2,2,o,2,x,x,o
2,2,1,x,2,2,2,x,o,o
2,2,x,2,5,x,2,o,2,o
2,2,2,5,o,x,2,o,x,2
2,2,1,1,o,x,1,x,o,2
2,o,2,2,2,2,2,x,x,o
2,2,2,o,2,2,x,o,x,2
2,o,2,o,2,2,0,x,3,x
2,2,2,2,2,x,o,x,2,o
2,2,o,2,2,2,x,o,x,2
2,2,x,2,o,2,2,o,x,2
2,2,2,2,2,2,o,x,x,o
2,2,o,2,2,2,2,x,o,x
2,2,x,2,2,x,2,o,o,2
2,2,2,1,o,x,o,2,x,2
2,2,2,2,o,2,2,x,x,o
2,0,0,0,0,x,0,x,o,o
2,1,o,2,2,x,1,x,o,2
2,1,2,o,0,x,2,o,x,0
2,2,x,2,2,2,o,x,o,2
2,2,o,2,o,x,2,2,x,2
2,o,2,1,o,2,2,x,x,2
2,2,2,2,x,o,3,o,x,2
3,1,x,x,o,1,1,o,x,o
3,1,x,x,o,x,1,o,o,1
3,1,x,x,o,x,1,o,1,o
3,1,x,x,o,1,1,o,o,x
3,1,x,x,o,1,x,o,o,1
3,1,x,x,o,1,1,x,o,o
3,1,x,x,o,x,1,1,o,o
